Time,Open,High,Low,Close,Volume
1999-11-10,29.5,29.8,27,27.75,1740850
1999-11-11,27.58,28.38,27.53,27.71,294034
1999-11-12,27.86,28.29,27.77,28.04,150079
1999-11-15,28.2,28.25,27.7,27.75,119210
1999-11-16,27.88,27.97,26.48,26.55,232231
1999-11-17,26.5,27.18,26.37,27.18,100525
1999-11-18,27.2,27.58,26.78,27.02,84465
1999-11-19,27.5,27.53,26.8,26.88,53749
1999-11-22,26.88,26.95,26.3,26.45,55354
1999-11-23,26.45,26.55,26.1,26.45,38439
1999-11-24,26.44,26.55,26.01,26.43,40980
1999-11-25,26.3,26.66,26.02,26.4,57252
1999-11-26,26.43,26.66,26.15,26.45,22826
1999-11-29,26.45,26.83,26.22,26.33,26812
1999-11-30,26.3,26.5,26.11,26.4,23713
1999-12-01,26.31,26.9,26.21,26.6,28651
1999-12-02,26.52,26.72,26.22,26.26,19384
1999-12-03,26.25,26.65,26.2,26.36,25525
1999-12-06,26.3,26.35,25.6,25.66,69839
1999-12-07,25.6,25.85,25.5,25.6,39557
1999-12-08,25.6,25.76,25.5,25.53,22365
1999-12-09,25.5,25.55,25.3,25.36,25646
1999-12-10,25.36,26.1,25.22,25.97,35539
1999-12-13,25.98,26.45,25.6,25.92,70584
1999-12-14,25.7,26,25.7,26,16184
1999-12-15,26,26.9,25.9,26.45,67978
1999-12-16,26.5,26.5,25.95,26,36162
1999-12-17,26,26.13,25.51,25.58,35653
1999-12-21,25.45,25.55,25.14,25.24,42153
1999-12-22,25.24,25.35,25.05,25.15,30835
1999-12-23,25.2,25.3,24.7,24.78,41615
1999-12-24,24.6,25.07,24.59,24.75,28324
1999-12-27,24.75,25,24.5,24.58,22337
1999-12-28,24.54,25.08,24.5,24.6,31766
1999-12-29,24.71,24.97,24.57,24.66,22842
1999-12-30,24.9,24.99,24.65,24.75,23331
2000-01-04,24.98,25.78,24.75,25.57,44960
2000-01-05,25.57,25.98,25.15,25.28,52528
2000-01-06,25.18,26.3,25.05,25.99,62296
2000-01-07,26.3,27.5,26.12,26.9,213553
2000-01-10,27,27.85,26.71,27.25,165397
2000-01-11,27.25,27.3,26.12,26.2,93907
2000-01-12,26,26,24.8,25.12,352749
2000-01-13,25,25.25,24.8,24.9,79756
2000-01-14,24.88,25,23.91,24.2,178618
2000-01-17,24.08,24.44,23.75,24.4,81015
2000-01-18,24.5,24.57,23.88,24.14,76933
2000-01-19,24.14,24.29,23.98,24.13,46584
2000-01-20,24.12,24.65,24.1,24.44,51144
2000-01-21,24.51,24.63,24.08,24.27,81386
2000-01-24,24.2,24.25,23.95,24.18,92502
2000-01-25,24.18,25.16,24.18,24.59,77422
2000-01-26,24.6,24.8,24.31,24.41,27377
2000-01-27,24.47,24.78,24.2,24.59,63350
2000-01-28,24.6,25.1,24.56,25.04,123627
2000-02-14,26,27.48,25.5,27.2,237391
2000-02-15,27.2,27.48,25.65,25.68,262676
2000-02-16,25.5,25.55,24.91,25.2,190690
2000-02-17,25.25,26.4,24.23,24.9,230447
2000-02-18,24.9,25,24.3,24.68,96934
2000-02-21,24.75,26.3,24.2,25.8,255105
2000-02-22,25.88,26,24.6,24.75,105175
2000-02-23,24.6,25.25,24.5,24.6,69145
2000-02-24,24.6,25,24.5,24.82,46481
